Name Kar 98b
ShortName Kar98B
Ammo 792Mauser1
Description 7.92x57mm Mauser
ShowDamage true
ShowReloadTime true
LoadIntoGun 5
Icon kar98k
Colour 255 255 255
ReloadTime 60
Recoil 14
Damage 1.5
Accuracy 3
ShootDelay 30
ShootSound kar98kShoot
ReloadSound kar98kReload
Mode SemiAuto
BulletSpeed 10
Scope None
Model ww2.Kar98k
Texture SkinKar98b
ModelScale 0.6
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
