Name Krag-Jorgensen Rifle
ShortName KJRifle
Ammo 762NATO1
Description 7.62x51mm NATO
ShowDamage true
ShowReloadTime true
LoadIntoGun 5
Icon KJCarbine
Colour 255 255 255
ReloadTime 60
Recoil 8
Damage 1.5
Accuracy 2
ShootDelay 30
ShootSound kar98kShoot
ReloadSound kar98kReload
Mode SemiAuto
BulletSpeed 10
Scope None
Model NewAge.Krag
Texture SkinKrag
ModelScale 0.9
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
