Name Mauser 1910
ShortName MauserM1910
Ammo 762MMR1
Description 7.62x54mmR
ShowDamage true
ShowReloadTime true
LoadIntoGun 5
Icon kar98k
Colour 255 255 255
ReloadTime 65
Recoil 14
Damage 1.5
Accuracy 4
ShootDelay 32
ShootSound kar98kShoot
ReloadSound kar98kReload
Mode SemiAuto
BulletSpeed 10
Scope None
Model ww2.Kar98k
Texture SkinKar98k
ModelScale 0.6
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
