Name Mauser 1913 Carbine
ShortName MauserM1913Carbine
Ammo 792Mauser1
Description 7.92x57mm Mauser
ShowDamage true
ShowReloadTime true
LoadIntoGun 5
Icon MauserM1913
Colour 255 255 255
ReloadTime 65
Recoil 18
Damage 1.5
Accuracy 4
ShootDelay 26
ShootSound kar98kShoot
ReloadSound kar98kReload
Mode SemiAuto
BulletSpeed 10
Scope None
Model ww2.Kar98k
Texture MauserM1913
ModelScale 0.6
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
