Name Snider-Enfield
ShortName SniderEnfield
Ammo 11Chassepot1
Description 11x59mm Gras
LoadIntoGun 1
Icon SniderEnfield
Colour 255 255 255
ReloadTime 50
Recoil 30
Damage 1.5
Accuracy 5
ShootDelay 22
ShootSound leeEnfieldShoot
ReloadSound kar98kReload
Mode SemiAuto
BulletSpeed 10
Scope None
Model dunk.martinihenry
ModelScale 1
Texture Martinihenryskin
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
