Name Type 81 Carbine
ShortName Type81Carbine
Ammo 762Warsaw10
Description 7.62x39mm WTO
ShowDamage true
ShowReloadTime true
Icon Type56Carbine
Colour 255 255 255
ReloadTime 50
Recoil 4
Damage 1
Accuracy 6
RoundsPerMin 720
ShootSound MosinNagantShoot
ReloadSound kar98kReload
Mode Burst
NumBurstRounds 3
BulletSpeed 10
Scope None
Model W44.SKS
Texture Type56Carbine
ModelScale 0.25
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
