Name Beltfed DP
ShortName BeltfedDP
Ammo 762MMR100
Ammo 762MMR250
Ammo 762MMR500
Description 7.62x54mmR
ShowDamage true
ShowReloadTime true
Icon DP28
Colour 255 255 255
ReloadTime 80
Recoil 4
Damage 1
Accuracy 7
RoundsPerMin 550
ShootSound DP28Shoot
ReloadSound DP28Reload
Mode FullAuto
BulletSpeed 10
Scope None
Model W44.DP28
Texture SkinDP28
ModelScale 0.25
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
