Name Breda-SAFAT (7.7mm)
ShortName BredaSAFAT77
Ammo 30Cal100
Ammo 30Cal250
Ammo 30Cal500
Description .30-06
Icon Breda77
Colour 255 255 255
ReloadTime 100
Recoil 3
Damage 1
Accuracy 13
RoundsPerMin 800
DistortSound False
ShootSound MG42Shoot
ReloadSound BrowningReload
Mode FullAuto
BulletSpeed 10.0
Scope None
Model W44.30Cal
Texture Skin30Cal
ModelScale 1
ShowDamage true
ShowReloadTime true
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
