Name M2HB Browning
ShortName M2HBBrowning
Ammo 50BMG500
Ammo 50BMG250
Icon Browning
Colour 255 255 255
Description .50 BMG
ShowDamage true
ShowReloadTime true
ReloadTime 100
Recoil 4
Damage 1
Accuracy 6
RoundsPerMin 600
DistortSound False
ShootSound BrowningShoot
ReloadSound BrowningReload
Mode FullAuto
BulletSpeed 10.0
Scope None
Model W44.50Cal
Texture Skin50Cal
ModelScale 0.45
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
