Name PV-1
ShortName PV1
Ammo 762MMR500
Ammo 762MMR250
Ammo 762MMR100
Description 7.62x54mmR
Icon PV1
Colour 255 255 255
ReloadTime 100
Recoil 4
Damage 1
Accuracy 15
RoundsPerMin 750
DistortSound False
ShootSound MG42Shoot
ReloadSound BrowningReload
Mode FullAuto
BulletSpeed 10.0
Scope None
Model W44.30Cal
Texture Skin30Cal
ModelScale 1
ShowDamage true
ShowReloadTime true
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
