Name SGM Gorunov
ShortName SGM
Ammo 762MMR500
Ammo 762MMR250
Ammo 762MMR100
Description 7.62x54mmR
Icon SG43
Colour 255 255 255
ReloadTime 100
Recoil 5
Damage 1
Accuracy 7
RoundsPerMin 700
DistortSound False
ShootSound BrowningShoot
ReloadSound BrowningReload
Mode FullAuto
BulletSpeed 10.0
Scope None
Model W44.30Cal
Texture Skin30Cal
ModelScale 1
ShowDamage true
ShowReloadTime true
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
