Name Taisho 11
ShortName Taisho11
Ammo 77Arisaka30
Description 7.7x58mm Arisaka
ShowDamage true
ShowReloadTime true
Icon Type96
Colour 255 255 255
ReloadTime 100
Recoil 7
Damage 1
Accuracy 8
RoundsPerMin 500
ShootSound DP28Shoot
ReloadSound DP28Reload
Mode FullAuto
BulletSpeed 10
Scope None
Model NewAge.Type96MG
Texture SkinType96MG
ModelScale 0.8
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
