Name Type 2 HMG
ShortName Type2HMG
Ammo 13MMB50
Description 13x92mm mmB
Icon MG131
Colour 255 255 255
ReloadTime 80
Recoil 7
Damage 1
Accuracy 8
RoundsPerMin 500
ShootSound MG42Shoot
DistortSound False
ReloadSound MG42Reload
Mode FullAuto
BulletSpeed 10.0
Scope None
Model W44.Mg42
Texture SkinMg42
ModelScale 0.75
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
