Name Type 99 LMG
ShortName Type99LMG
Ammo 77Arisaka30
Description 7.7x58mm Arisaka
ShowDamage true
ShowReloadTime true
Icon Type99
Colour 255 255 255
ReloadTime 80
Recoil 4
Damage 1
Accuracy 7
RoundsPerMin 800
ShootSound DP28Shoot
ReloadSound DP28Reload
Mode FullAuto
BulletSpeed 10
Scope None
Model NewAge.Type99MG
Texture SkinType99MG
ModelScale 0.8
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
