Name CZ 25 Grease Gun
ShortName CZ25
Ammo 919NATO40
Description 9x19mm Parabellum
Icon MP58
Colour 255 255 255
ReloadTime 50
Recoil 4
Damage 1
Accuracy 3
RoundsPerMin 650
ShootSound M3A1Shoot
ReloadSound M3A1Reload
Mode FullAuto
BulletSpeed 10
Scope None
Model W44.GreaseGun
Texture SkinGreaseGun
ModelScale 0.2
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
