Name PPSh-41 Obrez
ShortName PPSH41Obrez
Ammo 762Tokarev35
Ammo 762Tokarev71
Description 7.62x25mm Tokarev
ShowDamage true
ShowReloadTime true
Icon PPSHObrez
Colour 255 255 255
ReloadTime 34
Recoil 6
Damage 1
Accuracy 8
RoundsPerMin 900
ShootSound PPSHShoot
ReloadSound PPSHReload
Mode FullAuto
BulletSpeed 10
Model mpack.ppsh
ModelScale 0.07
Texture Skin_Gun_ppsh
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
