Name PPSh-45
ShortName PPSH45
Ammo 762Tokarev35
Ammo 762Tokarev71
Description 7.62x25mm Tokarev
ShowDamage true
ShowReloadTime true
Icon PPSH45
Colour 255 255 255
ReloadTime 40
Recoil 4
Damage 1
Accuracy 5
RoundsPerMin 900
ShootSound PPSHShoot
ReloadSound PPSHReload
Mode FullAuto
BulletSpeed 10
Model mpack.ppsh
ModelScale 0.07
Texture PPSH45
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
