Name Steyr-Solothurn S1-100
ShortName S1100
Ammo 919NATO32
Description 9x19mm Parabellum
ShowDamage true
ShowReloadTime true
Icon MP34
Colour 255 255 255
ReloadTime 50
Recoil 5
Damage 1
Accuracy 6
RoundsPerMin 600
ShootSound mp40Shoot
ReloadSound mp40Reload
Mode FullAuto
BulletSpeed 10
Scope None
Model ww2.Mp34
Texture MP34
ModelScale 0.85
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
