Name Type 36 Grease Gun
ShortName Type36SMG
Ammo 45ACP30
Icon M3A1
Colour 255 255 255
ReloadTime 50
Recoil 3
Damage 1
Accuracy 4
RoundsPerMin 450
ShootSound M3A1Shoot
ReloadSound M3A1Reload
Mode FullAuto
BulletSpeed 10
Scope None
Model W44.GreaseGun
Texture SkinGreaseGun
ModelScale 0.2
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
Description .45 ACP
ShowDamage true
ShowReloadTime true
