Name Borchardt C93
ShortName BorchardtC93
Ammo 765Para8
Description 7.65x21mm Parabellum
Icon C93
Colour 255 255 255
ReloadTime 40
Recoil 6
Damage 1.5
Accuracy 7
ShootDelay 3
ShootSound lugerShoot
ReloadSound lugerReload
Mode SemiAuto
BulletSpeed 10
OneHanded true
Scope None
Model W44.C96
Texture SkinC96
ModelScale 0.15
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
