Name Parabellum Model 1900
ShortName ParabellumM1900
Ammo 765Para8
Description 7.65x21mm Parabellum
ShowDamage true
ShowReloadTime true
Icon luger
Colour 255 255 255
ReloadTime 40
Recoil 6
Damage 1.5
Accuracy 6
ShootDelay 2
ShootSound lugerShoot
ReloadSound lugerReload
Mode SemiAuto
BulletSpeed 10
OneHanded true
Scope None
Model W44.Luger
Texture SkinLuger
ModelScale 0.15
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
