Name Radom wz.35
ShortName WZ35
Ammo 919NATO8
Icon TT33
Description 9x19mm Parabellum
ShowDamage true
ShowReloadTime true
Colour 255 255 255
ReloadTime 40
Recoil 4
Damage 1.5
Accuracy 4
ShootDelay 2
ShootSound TT33Shoot
ReloadSound TT33Reload
Mode SemiAuto
OneHanded true
BulletSpeed 10
Scope None
Model NewAge.wz35vis
Texture SkinVis35
ModelScale 0.85
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
