Name Adams Self-Cocker
ShortName AdamsSelfCocker
Ammo 455Webley1
Icon Kufahl
Colour 255 255 255
ReloadTime 80
Recoil 5
Damage 2
Accuracy 3
ShootDelay 12
ShootSound webleyShoot
ReloadSound webleyReload
LoadIntoGun 6
Mode SemiAuto
OneHanded true
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model dunk.1860pocket
ModelScale 1
Texture masterskin
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
Description .455 Webley
ShowDamage true
ShowReloadTime true
