Name Galand Velo Dog
ShortName GalandVeloDog
Ammo 22LR1
Icon MAS1873
Colour 255 255 255
ReloadTime 80
Recoil 2
Damage 2
Accuracy 6
ShootDelay 5
ShootSound webleyShoot
ReloadSound webleyReload
LoadIntoGun 9
Mode SemiAuto
OneHanded true
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model dunk.dunklemat
Texture masterskin
ModelScale 0.1
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
Description .22 LR
ShowDamage true
ShowReloadTime true
