Name Le Mat (12 Gauge)
ShortName LeMat12
Ammo 12GaugeShell
Ammo 12GaugeBirdshot
Ammo 12GaugeFlechette
Ammo 12GaugeAP
Ammo 12GaugeSlug
Ammo 12GaugePoison
Ammo 12GaugeBiological
Ammo 12GaugeIncendiary
Ammo 12GaugeHE
Icon MAS1873
Colour 255 255 255
ReloadTime 45
Recoil 6
Damage 2
Accuracy 7
ShootDelay 36
NumBullets 8
ShootSound webleyShoot
ReloadSound webleyReload
LoadIntoGun 1
Mode SemiAuto
OneHanded true
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model dunk.dunklemat
Texture masterskin
ModelScale 0.1
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
Description 12 Gauge
ShowDamage true
ShowReloadTime true
