Name Savage M1860
ShortName SavageM1860
Ammo 38Special1
Icon ColtM1860Army
Colour 255 255 255
ReloadTime 80
Recoil 7
Damage 2
Accuracy 5
ShootDelay 11
ShootSound webleyShoot
ReloadSound webleyReload
LoadIntoGun 6
Mode SemiAuto
OneHanded true
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model dunk.1860
ModelScale 1
Texture masterskin
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
Description .38 Special
ShowDamage true
ShowReloadTime true
