Name Webley-Fosbery
ShortName WebleyFosbery
Ammo 455Webley1
Icon WebleyFosbery
Colour 255 255 255
ReloadTime 80
Recoil 4
Damage 2
Accuracy 7
ShootDelay 4
ShootSound webleyShoot
ReloadSound webleyReload
LoadIntoGun 6
Mode FullAuto
OneHanded true
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model dunk.dunkwebly
ModelScale 1
Texture masterskin
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
Description .455 Webley
ShowDamage true
ShowReloadTime true
