Name Panzerfaust 100
ShortName Panzerfaust100
Ammo PanzerfaustRocket
Description Panzerfaust Rocket
ShowDamage true
ShowReloadTime true
Icon Panzerfaust
Colour 255 255 255
ReloadTime 80
Recoil 3
Damage 1
Accuracy 4
ShootDelay 1
ShootSound bazookaShoot
ReloadSound bazookaReload
Mode SemiAuto
Scope None
Model ww2.Panzerfaust
Texture Panzerfaust
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
