Name M30 Drilling
ShortName M30Drilling
Ammo 12GaugeShell
Ammo 12GaugeBirdshot
Ammo 12GaugeFlechette
Ammo 12GaugeAP
Ammo 12GaugeSlug
Ammo 12GaugePoison
Ammo 12GaugeBiological
Ammo 12GaugeIncendiary
Ammo 12GaugeHE
Description 12 Gauge Shell
Icon M30D
Colour 255 255 255
ReloadTime 52
Recoil 12
Damage 1
Accuracy 30
NumBullets 8
LoadIntoGun 3
ShootDelay 2
ShootSound W1200Shoot
ReloadSound TT33Reload
Mode SemiAuto
OneHanded True
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.triplethreat
ModelScale 0.11
Texture Skin_Gun_triplethreat
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
Description 12 Gauge Shell
ShowDamage true
ShowReloadTime true
