Name Winchester M1897 Limited Edition
ShortName WinchesterM1897LimitedEdition
Ammo 12GaugeShell
Ammo 12GaugeBirdshot
Ammo 12GaugeFlechette
Ammo 12GaugeAP
Ammo 12GaugeSlug
Ammo 12GaugePoison
Ammo 12GaugeBiological
Ammo 12GaugeIncendiary
Ammo 12GaugeHE
Description 12 Gauge Shell
Icon WinchesterM1897Gold
ShowDamage true
ShowReloadTime true
Colour 255 255 255
ReloadTime 80
Recoil 8
NumBullets 8
LoadIntoGun 5
Damage 1
Accuracy 32
ShootDelay 10
ShootSound W1200Shoot
ReloadSound W1200Reload
Mode SemiAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model dunk.1897T
ModelScale 1
Texture win1897gold
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
