Name BFG-50
ShortName BFG50
Ammo 50BMG1
Description .50 BMG
LoadIntoGun 1
Icon BerdanII
Colour 255 255 255
ReloadTime 35
Recoil 30
Damage 2
Accuracy 1
ShootDelay 15
ShootSound PTRS41Shoot
ReloadSound kar98kReload
Mode SemiAuto
BulletSpeed 10
Scope PTRS41
ZoomLevel 10
Model NewAge.Berdan2
Texture BFG50
ModelScale 1.06
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
