Name ROKS-2
ShortName ROKS2
Ammo FlamethrowerTank
Icon ROKS2
Description Flamethrower Tank
ShowDamage true
ShowReloadTime true
Colour 255 255 255
ReloadTime 50
Recoil 1
Damage 1
Accuracy 25
ShootDelay 2
ReloadSound Fg42Reload
Mode Minigun
MinigunStartSpeed 5
WarmupSound FlamethrowerWarmup
SpinSound FlamethrowerLoop
CooldownSound FlamethrowerCooldown
WarmupSoundLength 10
SpinSoundLength 35
BulletSpeed 1.0
Scope None
Model W44.MosinNagant
Texture SkinMosinNagant
ModelScale 0.25
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
